;кто;текст;кому;контекст;уровень;post
0;572437133;Как обычно унижена;post;post;1;5080402
1;180346042;[id572437133|Jeniz], 😆😆😆;572437133;Как обычно унижена;2;5080402
2;266103148;[id572437133|Jeniz], серьезно выжидал пока откроют коментарии чтобы написать это? Одержимый латетный монстрик;572437133;Как обычно унижена;2;5080402
3;572437133;[id266103148|Юлия], мне не трудно продублировать, что ты унижено можешь не ныть админам;266103148;[id572437133|Jeniz], серьезно выжидал пока откроют коментарии чтобы написать это? Одержимый латетный монстрик;2;5080402
4;511824616;[id572437133|Jeniz], скорее гага зависима от лейбла;572437133;Как обычно унижена;2;5080402
5;572437133;Только в случае сраги мертвый артист (juice wrld) приносит больше выгоды, чем БАХИЛА ПАП МУЩЫКИ;post;post;1;5080402
6;266103148;[id572437133|Jeniz], если с Гагой не дай бог что то случится она хайпанет не меньше этого ноунейм рэпера);572437133;Только в случае сраги мертвый артист (juice wrld) приносит больше выгоды, чем БАХИЛА ПАП МУЩЫКИ;2;5080402
7;288084135;список артистов, которые спасли 2020 год своей музыкой;post;post;1;5080402
8;573175640;[id288084135|Максим], кроме блядиэс, они спасли только деревенские толчки от засора;288084135;список артистов, которые спасли 2020 год своей музыкой;2;5080402
9;557036334;[id573175640|Bts], спасли мир от ковид;573175640;[id288084135|Максим], кроме блядиэс, они спасли только деревенские толчки от засора;2;5080402
10;537054949;Дада она такая,она всех унизила;post;post;1;5080402
11;332916491;а в каком ариана находится?;post;post;1;5080402
12;108588953;[id332916491|Егор], republic records;332916491;а в каком ариана находится?;2;5080402
13;332916491;[id108588953|Дима],  спасибо;108588953;[id332916491|Егор], republic records;2;5080402
14;108588953;[id332916491|Егор], да не за что;332916491;[id108588953|Дима],  спасибо;2;5080402
15;345716874;Свифт единственная женщина, как обычно тащит на себе женский сегмент индустрии 😭;post;post;1;5080402
16;572437133;[id345716874|Кристина], срага как обычно тащит на себе трупных червей;345716874;Свифт единственная женщина, как обычно тащит на себе женский сегмент индустрии 😭;2;5080402
17;486356823;[id345716874|Кристина], Тэй и Ари правят женским сигментом👁️👄👁️;345716874;Свифт единственная женщина, как обычно тащит на себе женский сегмент индустрии 😭;2;5080402
18;561970603;я все еще ахуеваю с 8 версий альбома;post;post;1;5080402
19;573175640;[id561970603|Rns], ну ладно хоть не 32 версии, а то бездарный хач из срамузыки обдристался бы в свои дырявые трусы от таких новостей;561970603;я все еще ахуеваю с 8 версий альбома;2;5080402
20;320765743;[id561970603|Rns], да ладно тебе, нормальные люди понимают откуда там 800к дебютных взялось, пусть фанатики порадуются, может кто то и забудет про флоп лавера;561970603;я все еще ахуеваю с 8 версий альбома;2;5080402
21;345716874;"[id320765743|Анатолий], у Лавера больше недель в топ-10 чем у любого сольного альбома гаги за последние 10 лет ору какой флоп 
При этом хроматика кажется уже готова опуститься ниже его в чарте";320765743;[id561970603|Rns], да ладно тебе, нормальные люди понимают откуда там 800к дебютных взялось, пусть фанатики порадуются, может кто то и забудет про флоп лавера;2;5080402
